WBC,Low,3.93,+2.7SDs
WBC,Low,3.6,-0.3SDs
WBC,Low,3.63,0.0SDs
WBC,Low,3.72,+0.8SDs
WBC,Low,3.5,-1.2SDs
WBC,Low,3.81,+1.6SDs
WBC,Low,3.65,+0.1SDs
WBC,Low,3.68,+0.4SDs
WBC,Low,3.78,+1.3SDs
WBC,Low,3.64,+0.1SDs
WBC,Low,3.72,+0.8SDs
WBC,Low,3.68,+0.4SDs
WBC,Low,3.5,-1.2SDs
WBC,Low,3.55,-0.8SDs
WBC,Low,3.6,-0.3SDs
WBC,Low,3.53,-1.0SDs
WBC,Low,3.64,0.0SDs
#LYMPH,Low,0.71,-0.2SDs
#LYMPH,Low,0.73,+0.2SDs
#LYMPH,Low,0.69,-0.6SDs
#LYMPH,Low,0.75,+0.4SDs
#LYMPH,Low,0.72,-0.1SDs
#LYMPH,Low,0.73,+0.2SDs
#LYMPH,Low,0.75,+0.5SDs
#LYMPH,Low,0.7,-0.5SDs
#LYMPH,Low,0.77,+1.0SDs
#LYMPH,Low,0.71,-0.3SDs
#LYMPH,Low,0.72,-0.1SDs
#LYMPH,Low,0.7,-0.5SDs
#LYMPH,Low,0.8,+1.4SDs
#LYMPH,Low,0.82,+2.0SDs
#LYMPH,Low,0.77,+1.0SDs
#LYMPH,Low,0.72,-0.1SDs
#LYMPH,Low,0.71,-0.3SDs
#LYMPH,Low,0.72,-0.1SDs
#LYMPH,Low,0.74,+0.3SDs
#LYMPH,Low,0.8,+1.5SDs
#LYMPH,Low,0.69,-0.7SDs
#LYMPH,Low,0.66,-1.2SDs
#LYMPH,Low,0.72,-0.1SDs
#LYMPH,Low,0.73,+0.1SDs
#LYMPH,Low,0.71,-0.3SDs
#LYMPH,Low,0.71,-0.2SDs
#LYMPH,Low,0.74,+0.3SDs
#LYMPH,Low,0.72,0.0SDs
#LYMPH,Low,0.71,-0.2SDs
#LYMPH,Low,0.71,-0.2SDs
#LYMPH,Low,0.79,+1.4SDs
#LYMPH,Low,0.7,-0.5SDs
#LYMPH,Low,0.78,+1.1SDs
#LYMPH,Low,0.77,+0.9SDs
#LYMPH,Low,0.75,+0.6SDs
#LYMPH,Low,0.69,-0.7SDs
#LYMPH,Low,0.68,-1.0SDs
#LYMPH,Low,0.78,+1.1SDs
#LYMPH,Low,0.74,+0.3SDs
#LYMPH,Low,0.71,-0.4SDs
#LYMPH,Low,0.71,-0.3SDs
#LYMPH,Low,0.76,+0.7SDs
#LYMPH,Low,0.8,+1.5SDs
#LYMPH,Low,0.75,+0.5SDs
#LYMPH,Low,0.75,+0.4SDs
#LYMPH,Low,0.82,+1.9SDs
#LYMPH,Low,0.74,+0.3SDs
#LYMPH,Low,0.82,+1.9SDs
#LYMPH,Low,0.71,-0.3SDs
#LYMPH,Low,0.69,-0.7SDs
#LYMPH,Low,0.84,+2.3SDs
#LYMPH,Low,0.77,+0.8SDs
#LYMPH,Low,0.72,-0.1SDs
#LYMPH,Low,0.73,+0.1SDs
#LYMPH,Low,0.75,+0.6SDs
#LYMPH,Low,0.72,0.0SDs
#LYMPH,Low,0.66,-1.2SDs
#LYMPH,Low,0.67,-1.1SDs
#LYMPH,Low,0.7,-0.5SDs
%LYMPH,Low,19.35,-0.4SDs
%LYMPH,Low,19.53,-0.3SDs
%LYMPH,Low,18.31,-1.2SDs
%LYMPH,Low,20.27,+0.3SDs
%LYMPH,Low,19.66,-0.2SDs
%LYMPH,Low,21.07,+0.8SDs
%LYMPH,Low,21.07,+0.8SDs
%LYMPH,Low,18.86,-0.8SDs
%LYMPH,Low,20.33,+0.3SDs
%LYMPH,Low,19.89,0.0SDs
%LYMPH,Low,19.19,-0.5SDs
%LYMPH,Low,18.61,-0.9SDs
%LYMPH,Low,21.37,+1.0SDs
%LYMPH,Low,22.03,+1.5SDs
%LYMPH,Low,20.32,+0.3SDs
%LYMPH,Low,19.77,-0.1SDs
%LYMPH,Low,20.42,+0.4SDs
%LYMPH,Low,20.09,+0.1SDs
%LYMPH,Low,19.57,-0.2SDs
%LYMPH,Low,21.77,+1.3SDs
%LYMPH,Low,18.84,-0.8SDs
%LYMPH,Low,19.32,-0.4SDs
%LYMPH,Low,19.26,-0.5SDs
%LYMPH,Low,19.25,-0.5SDs
%LYMPH,Low,19.95,0.0SDs
%LYMPH,Low,19.59,-0.2SDs
%LYMPH,Low,20.62,+0.5SDs
%LYMPH,Low,20.01,+0.1SDs
%LYMPH,Low,19.89,0.0SDs
%LYMPH,Low,19.67,-0.2SDs
%LYMPH,Low,21.57,+1.2SDs
%LYMPH,Low,19.04,-0.6SDs
%LYMPH,Low,21.01,+0.8SDs
%LYMPH,Low,20.36,+0.3SDs
%LYMPH,Low,20.24,+0.2SDs
%LYMPH,Low,19.07,-0.6SDs
%LYMPH,Low,18.95,-0.7SDs
%LYMPH,Low,20.42,+0.4SDs
%LYMPH,Low,19.61,-0.2SDs
%LYMPH,Low,18.88,-0.7SDs
%LYMPH,Low,20.52,+0.4SDs
%LYMPH,Low,20.72,+0.6SDs
%LYMPH,Low,20.24,+0.2SDs
%LYMPH,Low,20.77,+0.6SDs
%LYMPH,Low,20.53,+0.4SDs
%LYMPH,Low,22.02,+1.5SDs
%LYMPH,Low,21.14,+0.9SDs
%LYMPH,Low,21.46,+1.1SDs
%LYMPH,Low,19.44,-0.3SDs
%LYMPH,Low,18.68,-0.9SDs
%LYMPH,Low,22.16,+1.6SDs
